time,delay,data_value,
253,2021-07-07 13:19:48.517228,1327,
254,2021-07-07 13:19:48.564595,47367,
241,2021-07-07 13:19:48.566141,1546,
242,2021-07-07 13:19:48.567394,1253,
244,2021-07-07 13:19:48.614733,47339,
12,2021-07-07 13:19:48.616359,1626,
13,2021-07-07 13:19:48.617560,1201,
14,2021-07-07 13:19:48.664609,47049,
243,2021-07-07 13:19:48.665780,1171,
243,2021-07-07 13:19:48.667232,1452,
244,2021-07-07 13:19:48.713734,46502,
41,2021-07-07 13:19:48.714346,612,
40,2021-07-07 13:19:48.720571,6225,
39,2021-07-07 13:19:48.762611,42040,
250,2021-07-07 13:19:48.762907,296,
250,2021-07-07 13:19:48.763458,551,
250,2021-07-07 13:19:48.812606,49148,
5,2021-07-07 13:19:48.813145,539,
4,2021-07-07 13:19:48.813685,540,
4,2021-07-07 13:19:48.864212,50527,
209,2021-07-07 13:19:48.865482,1270,
209,2021-07-07 13:19:48.866674,1192,
208,2021-07-07 13:19:48.914272,47598,
237,2021-07-07 13:19:48.915847,1575,
237,2021-07-07 13:19:48.917212,1365,
238,2021-07-07 13:19:48.964391,47179,
230,2021-07-07 13:19:48.965733,1342,
230,2021-07-07 13:19:48.966900,1167,
229,2021-07-07 13:19:49.014641,47741,
254,2021-07-07 13:19:49.015957,1316,
0,2021-07-07 13:19:49.017414,1457,
1,2021-07-07 13:19:49.064232,46818,
0,2021-07-07 13:19:49.065466,1234,
1,2021-07-07 13:19:49.072327,6861,
1,2021-07-07 13:19:49.114288,41961,
23,2021-07-07 13:19:49.115513,1225,
23,2021-07-07 13:19:49.116795,1282,
23,2021-07-07 13:19:49.164363,47568,
41,2021-07-07 13:19:49.165709,1346,
42,2021-07-07 13:19:49.167077,1368,
43,2021-07-07 13:19:49.214440,47363,
218,2021-07-07 13:19:49.216211,1771,
218,2021-07-07 13:19:49.218129,1918,
219,2021-07-07 13:19:49.262853,44724,
16,2021-07-07 13:19:49.263240,387,
17,2021-07-07 13:19:49.263700,460,
17,2021-07-07 13:19:49.313433,49733,
32,2021-07-07 13:19:49.314033,600,
32,2021-07-07 13:19:49.314761,728,
32,2021-07-07 13:19:49.363466,48705,
253,2021-07-07 13:19:49.364067,601,
253,2021-07-07 13:19:49.364624,557,
253,2021-07-07 13:19:49.413161,48537,
17,2021-07-07 13:19:49.413621,460,
19,2021-07-07 13:19:49.420759,7138,
20,2021-07-07 13:19:49.463112,42353,
36,2021-07-07 13:19:49.463733,621,
37,2021-07-07 13:19:49.464243,510,
38,2021-07-07 13:19:49.513182,48939,
226,2021-07-07 13:19:49.513644,462,
227,2021-07-07 13:19:49.514275,631,
227,2021-07-07 13:19:49.563681,49406,
33,2021-07-07 13:19:49.564280,599,
32,2021-07-07 13:19:49.565188,908,
32,2021-07-07 13:19:49.613569,48381,
250,2021-07-07 13:19:49.614256,687,
251,2021-07-07 13:19:49.615135,879,
251,2021-07-07 13:19:49.663507,48372,
23,2021-07-07 13:19:49.664295,788,
23,2021-07-07 13:19:49.665245,950,
24,2021-07-07 13:19:49.713320,48075,
249,2021-07-07 13:19:49.713787,467,
250,2021-07-07 13:19:49.714434,647,
250,2021-07-07 13:19:49.763327,48893,
214,2021-07-07 13:19:49.763752,425,
215,2021-07-07 13:19:49.764464,712,
215,2021-07-07 13:19:49.812839,48375,
87,2021-07-07 13:19:49.813294,455,
85,2021-07-07 13:19:49.820492,7198,
87,2021-07-07 13:19:49.862899,42407,
